MISSION LIST
NUM	COMMAND	VEHICLE	LON	LAT	ALT	WAIT NEXT
1	TAKEOFF	1	112.797121	-7.277426	20.0	Yes
2	WAYPOINT	2	112.797121	-7.277426	20.0	Yes
3	WAYPOINT	3	112.797635	-7.277154	20.0	Yes
4	WAYPOINT	4	112.798234	-7.2772	20.0	Yes
5	WAYPOINT	5	112.798657	-7.277632	20.0	Yes
6	WAYPOINT	6	112.797488	-7.277695	20.0	Yes
7	LAND	7	112.797488	-7.277695	0.0	Yes

LOGS
TIME	RUNNING MISSION	VEHICLE	ARMED	MODE	HEADING	VSPEED	GSPEED	LON	LAT	ALT
11-08-2023 03:41:34	1	1	YES	GUIDED	180	0.0	0.0	112.7974828	-7.2777038	0.0
11-08-2023 03:41:35	1	1	YES	GUIDED	180	0.0	0.0	112.7974827	-7.2777036	0.0
11-08-2023 03:41:35	1	1	YES	GUIDED	180	0.0	0.0	112.7974825	-7.2777035	0.0
11-08-2023 03:41:36	1	1	YES	GUIDED	180	0.03999999910593033	0.03999999910593033	112.7974824	-7.2777034	0.0
11-08-2023 03:41:36	1	1	YES	GUIDED	180	0.08999999612569809	0.08999999612569809	112.7974824	-7.2777034	0.18
11-08-2023 03:41:37	1	1	YES	GUIDED	180	0.14000000059604645	0.14000000059604645	112.7974826	-7.2777036	0.69
11-08-2023 03:41:37	1	1	YES	GUIDED	179	0.14999999105930328	0.14999999105930328	112.7974827	-7.2777037	1.42
11-08-2023 03:41:38	1	1	YES	GUIDED	180	0.14999999105930328	0.14999999105930328	112.7974828	-7.2777038	1.85
11-08-2023 03:41:38	1	1	YES	GUIDED	180	0.14000000059604645	0.14000000059604645	112.7974829	-7.2777038	2.78
11-08-2023 03:41:39	1	1	YES	GUIDED	180	0.14000000059604645	0.14000000059604645	112.7974835	-7.2777042	4.29
11-08-2023 03:41:39	1	1	YES	GUIDED	180	0.11999999731779099	0.11999999731779099	112.7974836	-7.2777043	4.81
11-08-2023 03:41:40	1	1	YES	GUIDED	179	0.05999999865889549	0.05999999865889549	112.7974839	-7.2777047	5.87
11-08-2023 03:41:40	1	1	YES	GUIDED	180	0.029999999329447746	0.029999999329447746	112.7974841	-7.277705	6.97
11-08-2023 03:41:41	1	1	YES	GUIDED	180	0.04999999701976776	0.04999999701976776	112.7974842	-7.2777051	8.08
11-08-2023 03:41:41	1	1	YES	GUIDED	180	0.11999999731779099	0.11999999731779099	112.797484	-7.2777051	9.19
11-08-2023 03:41:42	1	1	YES	GUIDED	180	0.14000000059604645	0.14000000059604645	112.7974838	-7.2777051	10.31
11-08-2023 03:41:42	1	1	YES	GUIDED	180	0.14000000059604645	0.14000000059604645	112.7974835	-7.277705	11.42
11-08-2023 03:41:43	1	1	YES	GUIDED	180	0.14000000059604645	0.14000000059604645	112.7974833	-7.2777047	12.53
11-08-2023 03:41:43	1	1	YES	GUIDED	180	0.14999999105930328	0.14999999105930328	112.7974831	-7.2777045	13.65
